Retailer Name,Email,Carve Outs,Location,LP
Take Off Cannabis,amber@takeoffcannabis.ca,no,ON,
THC Canada,renan@thccanada.ca,no,BC,
The 420 Place,info@the420place.ca,no,ON,
The 420 Spot,jenakan@ontheridgeco.com,no,ON,
The Bakery,jessa@thebakery.ca,no,SK,
The Cannabis Guys,,no,ON,
The Coughy Shop,,no,SK,
The Flower Pot,coreybourdon@tfpcannabis.com,no,ON,
The Green Room,shereef.s@cannabistshop.ca,no,ON,
The Higher Path,cheyiennecunningham92@gmail.com,no,BC,
The Kure Cannabis Society,kurecannabissociety@gmail.com,no,BC,
The Highway Cannabis,juddvanslyk@gmail.com,no,SK,
The Niagara Herbalist,kevin@theniagaraherbalist.com,no,ON,
The Original Farm,,no,BC,
The Shore Cannabiz Shop,theshorecannabiz@gmail.com,no,BC,
The Woods,justin@thewoodscannabis.ca,no,ON,
Toronto's Cannabis Authority,colin@torontocannabisauthority.ca,no,ON,
Tree Hill Cannabis,sasquatchcannabis@gmail.com,no,AB,
Trinity Tree Cannabis ,ksidhu@trinitytreecannabis.com,no,BC,
Twist,Twistcannabisottawa@gmail.com,no,ON,
UEM Cannabis,info@uemcannabis.com,no,BC ,
Unplug,rpurvis@unplugcannabis.com,no,ON ,
Up in Smoke ,mathew@itsupinsmoke.com,no,BC,
UpHi Cannabis Emporium,simon@uphicannabis.com,no,ON,
Vibes ,accessvibes1@gmail.com,no,AB,
Village Bloomery,andrea@villagebloomery.com,no,BC,
Welcome Cannabis,seth@welcomecannabis.ca /  erin@welcomecannabis.ca / parsa.parvinnejad@gmail.com / jordan@welcomecannabis.ca,no,ON,
Westcanna,INFO@WESTCANNABC.COM,no,BC,
iPOT,mjkbuilding@hotmail.com,no,ON,
Ganja Garden,samanthawong35@gmail.com,no,ON,
Cosmic Gardens,JN0504@hotmail.com,no,ON,
Rustic Cannabis,contact@rusticcannabis.ca,no,ON,
Pink Alien Cannabis,pinkaliendispensary@gmail.com,no,ON,
Valley Buds,kurtis@valleybud.ca,no,ON,
Fratelli and Co,Carley@fratelliandco.ca,no,ON,
Kindling Cannabis,morris@shopkindling.ca,no,ON,
Greenhouse Cannabis,blake@greenhousecannabis.ca,no,ON,
Grand Park Camrose Cannabis,jebwcarroll@gmail.com,no,AB,
420 Love,Robheydon@gmail.com,yes,ON,Lot420
420 Love,Robheydon@gmail.com,yes,ON,Sticky Greens
420 Love,Robheydon@gmail.com,yes,ON,LoFi
A Little Bud,Info@alittlebud.ca,yes,BC,Tilray Brands
ARCannabis,matt@arcannabis.ca,yes,BC,Dycar Pharmaceuticals Ltd.
Bluebird Cannabis,hiscoecraig@gmail.com,yes,ON,Dycar Pharmaceuticals Ltd.
Bluebird Cannabis,caitlin@bluebirdcannabis.store,yes,ON,Dycar Pharmaceuticals Ltd.
Bud Runners Cannabis,,yes,AB,Tilray Brands
Bud Supply,blaine.emelson@budsupplygroup.ca,yes,AB,Village Farms
Bud Supply,blaine.emelson@budsupplygroup.ca,yes,AB,Tilray Brands
Burb,steve@shopburb.com,yes,BC,Weed Me Inc
Burb,steve@shopburb.com,yes,BC,Tilray Brands
Burb,steve@shopburb.com,yes,BC,Village Farms
Burb,steve@shopburb.com,yes,BC,Motif
Burb,steve@shopburb.com,yes,BC,Dycar Pharmaceuticals Ltd.
Cannabis 4 Less,lucas@peaceleafco.ca,yes,AB,Tilray Brands
Cannabis Supply Co,chrislomax@cannabissupplyco.ca,yes,ON,BZAM
Cheeba Cheeba's Premium Cannabis,amber@cheebacheebas.com,yes,BC,Motif
Cheeba Cheeba's Premium Cannabis,amber@cheebacheebas.com,yes,BC,LoFi
Cheeba Cheeba's Premium Cannabis,amber@cheebacheebas.com,yes,BC,Tilray Brands
Clarity Cannabis,info@claritycannabis.ca,yes,BC,LoFi
Clarity Cannabis,info@claritycannabis.ca,yes,BC,Tilray Brands
Earths Own Naturals,laurie@earthsownnaturals.com,yes,BC,LoFi
Earths Own Naturals,laurie@earthsownnaturals.com,yes,BC,Brandolier
Egg's Canna,info@eggscanna.com,yes,BC,Motif
Egg's Canna,info@eggscanna.com,yes,BC,Village Farms
Elevate,,yes,AB,Entourage Brands Corp
Farmer Jane,april@farmerjane.ca,yes,MB,Tilray Brands
Farmer Jane,april@farmerjane.ca,yes,SK,Tilray Brands
Fika,chris.kane@fikasupply.com,yes,ON,Decibel
Fika,chris.kane@fikasupply.com,yes,ON,We Grow BC (Decibel)
Fika,chris.kane@fikasupply.com,yes,ON,Tilray Brands
Fika,chris.kane@fikasupply.com,yes,ON,Lot420
Fika,chris.kane@fikasupply.com,yes,ON,Sticky Greens
Fika,chris.kane@fikasupply.com,yes,ON,Entourage Brands Corp
Firestone,,yes,AB,Decibel
Firestone,,yes,AB,We Grow BC (Decibel)
Firestone,,yes,AB,Tilray Brands
Firestone,,yes,AB,Village Farms
Firestone,,yes,AB,Entourage Brands Corp
Good Nature Cannabis,clayton@goodnaturecannabis.ca,yes,ON,Cannmart
Grasshopper Retail Inc.,managers@grasshopperretail.ca,yes,BC,LoFi
Greenstar Cannabis Company,gm@greenstarcanna.com,yes,BC,LoFi
Greenstar Cannabis Company,gm@greenstarcanna.com,yes,BC,Tilray Brands
Honeycomb Cannabis,langford@honeycombcanna.com,yes,BC,Village Farms
Imagine,jesse@inspiredcannabis.ca,yes,BC,Lot420
Imagine,jesse@inspiredcannabis.ca,yes,BC,Sticky Greens
Imagine,jesse@inspiredcannabis.ca,yes,BC,BZAM
Imagine,jesse@inspiredcannabis.ca,yes,BC,Hexo
Imagine,jesse@inspiredcannabis.ca,yes,BC,Tilray Brands
Inspired,jesse@inspiredcannabis.ca,yes,BC,Weed Me Inc
Inspired,jesse@inspiredcannabis.ca,yes,BC,Tilray Brands
Inspired,jesse@inspiredcannabis.ca,yes,BC,Village Farms
Inspired,jesse@inspiredcannabis.ca,yes,BC,Lot420
Inspired,jesse@inspiredcannabis.ca,yes,BC,Sticky Greens
Inspired,jesse@inspiredcannabis.ca,yes,BC,Entourage Brands Corp
Inspired,jesse@inspiredcannabis.ca,yes,BC,LivCorp Inc
Inspired,jesse@inspiredcannabis.ca,yes,BC,Motif
Inspired,jesse@inspiredcannabis.ca,yes,BC,BZAM
Inspired,jesse@inspiredcannabis.ca,yes,BC,Wyld
Inspired,jesse@inspiredcannabis.ca,yes,BC,Hexo
Inspired,jesse@inspiredcannabis.ca,yes,BC,LoFi
Inspired,jesse@inspiredcannabis.ca,yes,ON,Weed Me Inc
Inspired,jesse@inspiredcannabis.ca,yes,ON,Tilray Brands
Inspired,jesse@inspiredcannabis.ca,yes,ON,Village Farms
Inspired,jesse@inspiredcannabis.ca,yes,ON,Lot420
Inspired,jesse@inspiredcannabis.ca,yes,ON,Sticky Greens
Inspired,jesse@inspiredcannabis.ca,yes,ON,Entourage Brands Corp
Inspired,jesse@inspiredcannabis.ca,yes,ON,LivCorp Inc
Inspired,jesse@inspiredcannabis.ca,yes,ON,Motif
Inspired,jesse@inspiredcannabis.ca,yes,ON,BZAM
Inspired,jesse@inspiredcannabis.ca,yes,ON,Wyld
Inspired,jesse@inspiredcannabis.ca,yes,ON,Hexo
Inspired,jesse@inspiredcannabis.ca,yes,ON,LoFi
Inspired,jesse@inspiredcannabis.ca,yes,SK,Weed Me Inc
Inspired,jesse@inspiredcannabis.ca,yes,SK,Tilray Brands
Inspired,jesse@inspiredcannabis.ca,yes,SK,Village Farms
Inspired,jesse@inspiredcannabis.ca,yes,SK,Lot420
Inspired,jesse@inspiredcannabis.ca,yes,SK,Sticky Greens
Inspired,jesse@inspiredcannabis.ca,yes,SK,Entourage Brands Corp
Inspired,jesse@inspiredcannabis.ca,yes,SK,LivCorp Inc
Inspired,jesse@inspiredcannabis.ca,yes,SK,Motif
Inspired,jesse@inspiredcannabis.ca,yes,SK,BZAM
Inspired,jesse@inspiredcannabis.ca,yes,SK,Wyld
Inspired,jesse@inspiredcannabis.ca,yes,SK,Hexo
Inspired,jesse@inspiredcannabis.ca,yes,SK,LoFi
J Supply/ Northern Helm,geoff@northernhelm.com,yes,ON,Tilray Brands
J Supply/ Northern Helm,geoff@northernhelm.com,yes,ON,Village Farms
J Supply/ Northern Helm,geoff@northernhelm.com,yes,ON,LoFi
Jimmy's / Zagas,darby@jimmyscannabis.com,yes,BC,LoFi
Kushklub,vancouver@kushklub.ca,yes,BC,Tilray Brands
Lucid Cannabis,Mike@lucidcannabis.ca,yes,AB,Weed Me Inc
Lucid Cannabis,Mike@lucidcannabis.ca,yes,AB,Decibel
Lucid Cannabis,Mike@lucidcannabis.ca,yes,AB,We Grow BC (Decibel)
Lucid Cannabis,Mike@lucidcannabis.ca,yes,AB,The Green Organic Dutchman LTD.
Lucid Cannabis,Mike@lucidcannabis.ca,yes,AB,Ayurcann Inc.
Lucid Cannabis,Mike@lucidcannabis.ca,yes,AB,Cannmart
Lucid Cannabis,Mike@lucidcannabis.ca,yes,AB,Motif
Lucid Cannabis,Mike@lucidcannabis.ca,yes,AB,Wyld
Lucid Cannabis,Mike@lucidcannabis.ca,yes,AB,Village Farms
Lucid Cannabis,Mike@lucidcannabis.ca,yes,AB,Entourage Brands Corp
Lucid Cannabis,Mike@lucidcannabis.ca,yes,SK,Weed Me Inc
Lucid Cannabis,Mike@lucidcannabis.ca,yes,SK,Decibel
Lucid Cannabis,Mike@lucidcannabis.ca,yes,SK,We Grow BC (Decibel)
Lucid Cannabis,Mike@lucidcannabis.ca,yes,SK,The Green Organic Dutchman LTD.
Lucid Cannabis,Mike@lucidcannabis.ca,yes,SK,Ayurcann Inc.
Lucid Cannabis,Mike@lucidcannabis.ca,yes,SK,Cannmart
Lucid Cannabis,Mike@lucidcannabis.ca,yes,SK,Motif
Lucid Cannabis,Mike@lucidcannabis.ca,yes,SK,Wyld
Lucid Cannabis,Mike@lucidcannabis.ca,yes,BC,Weed Me Inc
Lucid Cannabis,Mike@lucidcannabis.ca,yes,BC,Decibel
Lucid Cannabis,Mike@lucidcannabis.ca,yes,BC,We Grow BC (Decibel)
Lucid Cannabis,Mike@lucidcannabis.ca,yes,BC,The Green Organic Dutchman LTD.
Lucid Cannabis,Mike@lucidcannabis.ca,yes,BC,Ayurcann Inc.
Lucid Cannabis,Mike@lucidcannabis.ca,yes,BC,Cannmart
Lucid Cannabis,Mike@lucidcannabis.ca,yes,BC,Motif
Lucid Cannabis,Mike@lucidcannabis.ca,yes,BC,Wyld
Lucid Cannabis,jwilliams@lucidcannabis.ca,yes,AB,Weed Me Inc
Lucid Cannabis,jwilliams@lucidcannabis.ca,yes,AB,Decibel
Lucid Cannabis,jwilliams@lucidcannabis.ca,yes,AB,We Grow BC (Decibel)
Lucid Cannabis,jwilliams@lucidcannabis.ca,yes,AB,The Green Organic Dutchman LTD.
Lucid Cannabis,jwilliams@lucidcannabis.ca,yes,AB,Ayurcann Inc.
Lucid Cannabis,jwilliams@lucidcannabis.ca,yes,AB,Cannmart
Lucid Cannabis,jwilliams@lucidcannabis.ca,yes,AB,Entourage Brands Corp
Lucid Cannabis,jwilliams@lucidcannabis.ca,yes,AB,Motif
Lucid Cannabis,jwilliams@lucidcannabis.ca,yes,AB,Village Farms
Lucid Cannabis,jwilliams@lucidcannabis.ca,yes,AB,Wyld
Lux Leaf,carter@luxleaf.ca,yes,AB,BZAM
Lux Leaf,carter@luxleaf.ca,yes,AB,Canada's Island Garden Inc.
Lux Leaf,carter@luxleaf.ca,yes,AB,Tilray Brands
Lux Leaf,carter@luxleaf.ca,yes,AB,Wyld
Lux Leaf,carter@luxleaf.ca,yes,MB,BZAM
Lux Leaf,carter@luxleaf.ca,yes,MB,Canada's Island Garden Inc.
Lux Leaf,carter@luxleaf.ca,yes,MB,Tilray Brands
Lux Leaf,carter@luxleaf.ca,yes,MB,Wyld
Maple Leaf Greenery Ltd.,carter@luxleaf.ca,yes,BC,Tilray Brands
Maple Leaf Greenery Ltd.,carter@luxleaf.ca,yes,BC,Village Farms
Mary J's,harman@maryjcannabis.ca,yes,ON,Dycar Pharmaceuticals Ltd.
Mary J's,harman@maryjcannabis.ca,yes,ON,Entourage Brands Corp
Mary J's,harman@maryjcannabis.ca,yes,ON,Motif
Mary J's,harman@maryjcannabis.ca,yes,ON,Tilray Brands
Miss Jones,,yes,ON,Decibel
Miss Jones,,yes,ON,Entourage Brands Corp
Miss Jones,,yes,ON,Motif
Miss Jones,,yes,ON,Tilray Brands
Miss Jones,,yes,ON,We Grow BC (Decibel)
Mission Cannabis,admin@missioncannabis.co,yes,BC,Motif
Mission Cannabis,admin@missioncannabis.co,yes,BC,Village Farms
Mistik Cannabis,melanie@mistikcannabis.ca,yes,AB,Canada's Island Garden Inc.
Mistik Cannabis,melanie@mistikcannabis.ca,yes,MB,Canada's Island Garden Inc.
Mistik Cannabis,melanie@mistikcannabis.ca,yes,MB,SNDL
Mistik Cannabis,melanie@mistikcannabis.ca,yes,MB,Tilray Brands
Mountain Standard Cannabis,martelent@gmail.com,yes,AB,Tilray Brands
Mountain Standard Cannabis,martelent@gmail.com,yes,AB,Tilray Brands
Mountain Standard Cannabis,martelent@gmail.com,yes,AB,Village Farms
Muse Cannabis,southgranville@musecannabis.ca,yes,BC,Motif
Natures Canopy House,,yes,ON,Dycar Pharmaceuticals Ltd.
Peace Pipe Cannabis,melanie@mistikcannabis.ca,yes,AB,Canada's Island Garden Inc.
Plant Life,ian.scott@plantlifecanada.com,yes,AB,Ayurcann Inc.
Plant Life,ian.scott@plantlifecanada.com,yes,AB,Decibel
Plant Life,ian.scott@plantlifecanada.com,yes,AB,Emblem Cannabis Corp.
Plant Life,ian.scott@plantlifecanada.com,yes,AB,Entourage Brands Corp
Plant Life,ian.scott@plantlifecanada.com,yes,AB,Stigma Grow
Plant Life,ian.scott@plantlifecanada.com,yes,AB,"Tilray Brands	"
Plant Life,ian.scott@plantlifecanada.com,yes,AB,Village Farms
Plant Life,ian.scott@plantlifecanada.com,yes,AB,We Grow BC (Decibel)
Plant Life,ian.scott@plantlifecanada.com,yes,AB,Weed Me Inc
Plant Life,ian.scott@plantlifecanada.com,yes,AB,Wovven Inc.
Pops,ryanblack@popscannabis.ca,yes,ON,Decibel
Pops,ryanblack@popscannabis.ca,yes,ON,Lot420
Pops,ryanblack@popscannabis.ca,yes,ON,Tilray Brands
Pops,ryanblack@popscannabis.ca,yes,ON,Village Farms
Pops,ryanblack@popscannabis.ca,yes,ON,We Grow BC (Decibel)
Prairie Records,dustin.norris@decibelcc.com,yes,AB,Ayurcann Inc.
Prairie Records,dustin.norris@decibelcc.com,yes,AB,Decibel
Prairie Records,dustin.norris@decibelcc.com,yes,AB,We Grow BC (Decibel)
Prairie Records,dustin.norris@decibelcc.com,yes,SK,Ayurcann Inc.
Prairie Records,dustin.norris@decibelcc.com,yes,SK,Decibel
Prairie Records,dustin.norris@decibelcc.com,yes,SK,We Grow BC (Decibel)
Sativa Bliss,jazzsamra555@gmail.com,yes,ON,Tilray Brands
Sparq,rob@sparqretail.ca,yes,ON,Brandolier
Sparq,rob@sparqretail.ca,yes,ON,Decibel
Sparq,rob@sparqretail.ca,yes,ON,Entourage Brands Corp
Sparq,rob@sparqretail.ca,yes,ON,LoFi
Sparq,rob@sparqretail.ca,yes,ON,We Grow BC (Decibel)
Spiritleaf - Ajax,Ajppalumbo@gmail.com,yes,ON,Hexo
Spiritleaf - Ajax,Ajppalumbo@gmail.com,yes,ON,SNDL
Spiritleaf - Ajax,Ajppalumbo@gmail.com,yes,ON,Tilray Brands
Spiritleaf - Scarborough,jasper.ly@spiritleaf.ca,yes,ON,Hexo
Spiritleaf - Scarborough,jasper.ly@spiritleaf.ca,yes,ON,SNDL
Spiritleaf - Scarborough,jasper.ly@spiritleaf.ca,yes,ON,Tilray Brands
Spiritleaf- Beaches,malcolm.lewis@outlook.com,yes,ON,Hexo
Spiritleaf- Beaches,malcolm.lewis@outlook.com,yes,ON,SNDL
Spiritleaf- Beaches,malcolm.lewis@outlook.com,yes,ON,Tilray Brands
Spiritleaf- Brampton,steven.lal@spiritleaf.ca,yes,ON,Hexo
Spiritleaf- Brampton,steven.lal@spiritleaf.ca,yes,ON,SNDL
Spiritleaf- Brampton,steven.lal@spiritleaf.ca,yes,ON,Tilray Brands
Spiritleaf- Cabbagetown,rouma.taneja@spiritleaf.ca,yes,ON,Hexo
Spiritleaf- Cabbagetown,rouma.taneja@spiritleaf.ca,yes,ON,SNDL
Spiritleaf- Cabbagetown,rouma.taneja@spiritleaf.ca,yes,ON,Tilray Brands
Spiritleaf- Campbellford,eric.contreras@spiritleaf.ca,yes,ON,Hexo
Spiritleaf- Campbellford,eric.contreras@spiritleaf.ca,yes,ON,SNDL
Spiritleaf- Campbellford,eric.contreras@spiritleaf.ca,yes,ON,Tilray Brands
Spiritleaf- Hogs Back,richard.dufour@spiritleaf.ca,yes,ON,Hexo
Spiritleaf- Hogs Back,richard.dufour@spiritleaf.ca,yes,ON,SNDL
Spiritleaf- Hogs Back,richard.dufour@spiritleaf.ca,yes,ON,Tilray Brands
Spiritleaf- Kingston,anshu.khanna@spiritleaf.ca,yes,ON,Hexo
Spiritleaf- Kingston,anshu.khanna@spiritleaf.ca,yes,ON,SNDL
Spiritleaf- Kingston,anshu.khanna@spiritleaf.ca,yes,ON,Tilray Brands
Spiritleaf- Little Italy,clifford.tindall@spiritleaf.ca,yes,ON,Hexo
Spiritleaf- Little Italy,clifford.tindall@spiritleaf.ca,yes,ON,SNDL
Spiritleaf- Little Italy,clifford.tindall@spiritleaf.ca,yes,ON,Tilray Brands
Spiritleaf- Mcdougall,nandi.dip2017@gmail.com,yes,AB,Hexo
Spiritleaf- Mcdougall,nandi.dip2017@gmail.com,yes,AB,SNDL
Spiritleaf- Mcdougall,nandi.dip2017@gmail.com,yes,AB,Tilray Brands
Spiritleaf- Ottawa,shawn@marlocorp.com,yes,ON,Hexo
Spiritleaf- Ottawa,shawn@marlocorp.com,yes,ON,SNDL
Spiritleaf- Ottawa,shawn@marlocorp.com,yes,ON,Tilray Brands
Spiritleaf- Pickering,kenneth.lioutas@spiritleaf.ca,yes,ON,Hexo
Spiritleaf- Pickering,kenneth.lioutas@spiritleaf.ca,yes,ON,SNDL
Spiritleaf- Pickering,kenneth.lioutas@spiritleaf.ca,yes,ON,Tilray Brands
Spiritleaf- Stratford,allen.tripp@spiritleaf.ca,yes,ON,Hexo
Spiritleaf- Stratford,allen.tripp@spiritleaf.ca,yes,ON,SNDL
Spiritleaf- Stratford,allen.tripp@spiritleaf.ca,yes,ON,Tilray Brands
Spiritleaf- Waterdown,alex.tang@spiritleaf.ca,yes,ON,Hexo
Spiritleaf- Waterdown,alex.tang@spiritleaf.ca,yes,ON,SNDL
Spiritleaf- Waterdown,alex.tang@spiritleaf.ca,yes,ON,Tilray Brands
Stok'd,lisa@stokd.ca,yes,ON,LoFi
The Cannabist Shop,shereef.s@cannabistshop.ca,yes,ON,NOYA Cananbis Inc
The Cannabist Shop,shereef.s@cannabistshop.ca,yes,ON,Entourage Brands Corp
The Cannabist Shop,shereef.s@cannabistshop.ca,yes,ON,Motif
The Cannabist Shop,shereef.s@cannabistshop.ca,yes,ON,The Green Organic Dutchman LTD.
This Is Cannabis,info@thisiscannabis.ca,yes,BC,LoFi
Toke,Katy@tokecannabis.com,yes,ON,LoFi
Toke,Katy@tokecannabis.com,yes,ON,Lot420
Toke,Katy@tokecannabis.com,yes,ON,Sticky Greens
Trees Cannabis,francescap@treescorp.ca,yes,BC,Tilray Brands
Trees Cannabis,francescap@treescorp.ca,yes,ON,Tilray Brands
Unity Cannabis Ltd.,info@unitycannabis.ca,yes,BC,LoFi
Village Cannabis Co.,drew@villagecannabisco.ca,yes,ON,Lot420
VIP,imran.m.ismail@gmail.com,yes,ON,Dycar Pharmaceuticals Ltd.
VIP,imran.m.ismail@gmail.com,yes,ON,Tilray Brands
Your Local Cannabis,gowsh@yourlocalcannabis.com,yes,ON,Ayurcann Inc.
Your Local Cannabis,gowsh@yourlocalcannabis.com,yes,ON,Tilray Brands
